,MAE,RMSE,MAPE,R,Type,Time
TNTS-SAN-F2W_RLAP_MMPD.h5,11.35±0.19,19.758±3.236,13.588±0.237,0.44549,Window,2024-10-13 09:33:31
TNTS-SAN-F2W_RLAP_MMPD.h5,6.62±0.316,10.46±3.173,7.934±0.389,0.73442,Whole,2024-10-13 09:33:31
TNTS-SAN-F2W_RLAP_COHFACE.h5,3.391±0.201,9.233±3.016,4.675±0.276,0.72391,Window,2024-10-13 09:33:44
TNTS-SAN-F2W_RLAP_COHFACE.h5,2.514±0.397,5.672±3.471,3.433±0.516,0.87496,Whole,2024-10-13 09:33:44
TNTS-SAN-F2W_RLAP_PURE.h5,0.427±0.051,1.471±0.863,0.643±0.081,0.99795,Window,2024-10-13 09:33:49
TNTS-SAN-F2W_RLAP_PURE.h5,0.232±0.066,0.557±0.427,0.342±0.113,0.99972,Whole,2024-10-13 09:33:49
TNTS-SAN-F2W_RLAP_UBFC.h5,1.154±0.08,2.153±1.01,1.165±0.079,0.99198,Window,2024-10-13 09:33:53
TNTS-SAN-F2W_RLAP_UBFC.h5,0.448±0.083,0.701±0.432,0.437±0.075,0.99925,Whole,2024-10-13 09:33:53
TNTS-SAN-F2W_MMPD_RLAP.h5,2.107±0.093,6.928±1.999,2.715±0.12,0.82644,Window,2024-10-13 09:40:24
TNTS-SAN-F2W_MMPD_RLAP.h5,1.114±0.139,2.337±1.185,1.432±0.172,0.97529,Whole,2024-10-13 09:40:24
TNTS-SAN-F2W_MMPD_COHFACE.h5,4.119±0.222,10.325±3.11,5.543±0.294,0.65694,Window,2024-10-13 09:40:36
TNTS-SAN-F2W_MMPD_COHFACE.h5,3.037±0.494,7.018±3.913,3.985±0.592,0.80897,Whole,2024-10-13 09:40:36
TNTS-SAN-F2W_MMPD_PURE.h5,1.019±0.16,4.528±2.905,1.686±0.3,0.98072,Window,2024-10-13 09:40:42
TNTS-SAN-F2W_MMPD_PURE.h5,0.622±0.288,2.296±2.222,1.054±0.561,0.99508,Whole,2024-10-13 09:40:42
TNTS-SAN-F2W_MMPD_UBFC.h5,1.354±0.095,2.549±1.12,1.39±0.096,0.98876,Window,2024-10-13 09:40:46
TNTS-SAN-F2W_MMPD_UBFC.h5,0.546±0.093,0.815±0.456,0.553±0.09,0.99898,Whole,2024-10-13 09:40:46
TS-SAN-F2W_RLAP_MMPD.h5,33.477±0.238,39.11±4.316,37.986±0.223,0.00902,Window,2024-10-13 09:52:07
TS-SAN-F2W_RLAP_MMPD.h5,31.707±0.657,35.9±6.992,35.767±0.567,0.03481,Whole,2024-10-13 09:52:07
TS-SAN-F2W_RLAP_COHFACE.h5,23.362±0.361,27.996±4.427,31.775±0.421,-0.09944,Window,2024-10-13 09:52:18
TS-SAN-F2W_RLAP_COHFACE.h5,21.417±1.054,25.315±7.435,28.554±1.115,-0.25154,Whole,2024-10-13 09:52:18
TS-SAN-F2W_RLAP_PURE.h5,23.408±0.886,33.853±8.719,30.567±0.983,0.01832,Window,2024-10-13 09:52:23
TS-SAN-F2W_RLAP_PURE.h5,17.834±2.847,28.219±15.196,21.264±2.338,0.04904,Whole,2024-10-13 09:52:23
TS-SAN-F2W_RLAP_UBFC.h5,38.783±1.27,48.421±10.073,37.562±1.131,0.01036,Window,2024-10-13 09:52:26
TS-SAN-F2W_RLAP_UBFC.h5,38.045±3.045,42.859±15.719,37.106±2.451,0.06259,Whole,2024-10-13 09:52:26
TS-SAN-F2W_MMPD_RLAP.h5,28.592±0.215,32.431±3.61,36.481±0.248,0.0281,Window,2024-10-13 09:58:03
TS-SAN-F2W_MMPD_RLAP.h5,25.936±0.71,27.991±6.333,32.856±0.684,0.05614,Whole,2024-10-13 09:58:03
TS-SAN-F2W_MMPD_COHFACE.h5,22.888±0.34,27.119±4.282,31.546±0.415,0.00257,Window,2024-10-13 09:58:14
TS-SAN-F2W_MMPD_COHFACE.h5,19.938±0.95,23.354±6.642,26.814±1.06,0.00615,Whole,2024-10-13 09:58:14
TS-SAN-F2W_MMPD_PURE.h5,25.83±0.848,34.856±8.649,34.804±0.992,0.02634,Window,2024-10-13 09:58:18
TS-SAN-F2W_MMPD_PURE.h5,19.514±2.715,28.559±14.736,24.503±2.434,0.06182,Whole,2024-10-13 09:58:18
TS-SAN-F2W_MMPD_UBFC.h5,45.494±1.034,51.254±9.664,44.868±0.871,0.06211,Window,2024-10-13 09:58:21
TS-SAN-F2W_MMPD_UBFC.h5,44.087±2.751,47.556±15.971,43.378±1.996,0.08574,Whole,2024-10-13 09:58:21
TSCAN_RLAP_MMPD.h5,14.341±0.194,21.877±3.273,16.626±0.224,0.27306,Window,2024-10-13 10:07:52
TSCAN_RLAP_MMPD.h5,10.192±0.439,15.167±4.33,11.62±0.47,0.47127,Whole,2024-10-13 10:07:52
TSCAN_RLAP_COHFACE.h5,9.372±0.314,16.354±3.969,13.949±0.502,0.34388,Window,2024-10-13 10:09:08
TSCAN_RLAP_COHFACE.h5,6.58±0.558,9.714±4.034,10.114±0.987,0.6098,Whole,2024-10-13 10:09:08
TSCAN_RLAP_PURE.h5,4.794±0.44,13.052±4.948,7.601±0.74,0.83995,Window,2024-10-13 10:09:31
TSCAN_RLAP_PURE.h5,3.902±0.764,7.045±3.817,6.215±1.23,0.95917,Whole,2024-10-13 10:09:31
TSCAN_RLAP_UBFC.h5,1.822±0.166,4.209±2.323,1.881±0.166,0.96992,Window,2024-10-13 10:09:46
TSCAN_RLAP_UBFC.h5,0.904±0.214,1.658±1.161,0.902±0.207,0.99569,Whole,2024-10-13 10:09:46
TSCAN_MMPD_RLAP.h5,11.597±0.193,17.951±3.135,15.333±0.274,0.20103,Window,2024-10-13 10:15:00
TSCAN_MMPD_RLAP.h5,7.154±0.463,9.918±3.457,9.288±0.602,0.46097,Whole,2024-10-13 10:15:00
TSCAN_MMPD_COHFACE.h5,13.199±0.368,20.54±4.54,19.884±0.597,0.12147,Window,2024-10-13 10:16:14
TSCAN_MMPD_COHFACE.h5,9.34±0.686,12.818±4.899,14.52±1.194,0.28744,Whole,2024-10-13 10:16:14
TSCAN_MMPD_PURE.h5,15.15±0.73,25.213±7.229,21.371±0.943,0.25303,Window,2024-10-13 10:16:34
TSCAN_MMPD_PURE.h5,12.879±2.063,20.42±11.414,18.113±2.229,0.45387,Whole,2024-10-13 10:16:34
TSCAN_MMPD_UBFC.h5,10.151±0.725,19.412±6.26,10.274±0.702,0.6047,Window,2024-10-13 10:16:49
TSCAN_MMPD_UBFC.h5,8.764±1.472,12.952±6.721,8.712±1.426,0.79557,Whole,2024-10-13 10:16:49
TSCANtn_RLAP_MMPD.h5,14.225±0.22,23.49±3.584,16.564±0.257,0.35368,Window,2024-10-13 10:25:18
TSCANtn_RLAP_MMPD.h5,9.127±0.426,14.231±4.17,10.359±0.452,0.5832,Whole,2024-10-13 10:25:18
TSCANtn_RLAP_COHFACE.h5,3.253±0.2,9.162±3.02,4.357±0.253,0.73401,Window,2024-10-13 10:25:28
TSCANtn_RLAP_COHFACE.h5,2.536±0.433,6.095±3.814,3.33±0.507,0.85988,Whole,2024-10-13 10:25:28
TSCANtn_RLAP_PURE.h5,0.548±0.056,1.646±0.932,0.825±0.09,0.99744,Window,2024-10-13 10:25:33
TSCANtn_RLAP_PURE.h5,0.281±0.087,0.728±0.626,0.423±0.159,0.99951,Whole,2024-10-13 10:25:33
TSCANtn_RLAP_UBFC.h5,1.306±0.095,2.522±1.156,1.329±0.096,0.98905,Window,2024-10-13 10:25:37
TSCANtn_RLAP_UBFC.h5,0.561±0.089,0.806±0.466,0.566±0.086,0.99906,Whole,2024-10-13 10:25:37
TSCANtn_MMPD_RLAP.h5,2.797±0.111,8.374±2.29,3.725±0.155,0.75778,Window,2024-10-13 10:29:42
TSCANtn_MMPD_RLAP.h5,1.401±0.159,2.74±1.274,1.841±0.206,0.96473,Whole,2024-10-13 10:29:42
TSCANtn_MMPD_COHFACE.h5,6.011±0.272,13.104±3.598,8.209±0.367,0.54373,Window,2024-10-13 10:29:53
TSCANtn_MMPD_COHFACE.h5,4.253±0.482,7.496±3.61,5.734±0.606,0.78313,Whole,2024-10-13 10:29:53
TSCANtn_MMPD_PURE.h5,1.792±0.235,6.738±3.603,2.732±0.363,0.95669,Window,2024-10-13 10:29:57
TSCANtn_MMPD_PURE.h5,1.078±0.393,3.204±2.561,1.565±0.644,0.99047,Whole,2024-10-13 10:29:57
TSCANtn_MMPD_UBFC.h5,1.387±0.092,2.525±1.102,1.435±0.096,0.98891,Window,2024-10-13 10:30:00
TSCANtn_MMPD_UBFC.h5,0.519±0.081,0.741±0.43,0.53±0.078,0.99911,Whole,2024-10-13 10:30:00
PhysNet_RLAP_MMPD.h5,13.709±0.192,21.278±3.216,15.38±0.203,0.23003,Window,2024-10-13 10:36:24
PhysNet_RLAP_MMPD.h5,11.175±0.47,16.416±4.579,12.251±0.458,0.41818,Whole,2024-10-13 10:36:24
PhysNet_RLAP_COHFACE.h5,9.686±0.26,14.747±3.14,14.256±0.399,0.29315,Window,2024-10-13 10:36:34
PhysNet_RLAP_COHFACE.h5,7.38±0.468,9.51±3.277,10.813±0.71,0.55902,Whole,2024-10-13 10:36:34
PhysNet_RLAP_PURE.h5,5.984±0.575,16.966±6.401,7.453±0.7,0.68782,Window,2024-10-13 10:36:39
PhysNet_RLAP_PURE.h5,5.145±1.563,13.064±8.81,6.216±1.671,0.83927,Whole,2024-10-13 10:36:39
PhysNet_RLAP_UBFC.h5,1.332±0.104,2.713±1.309,1.371±0.11,0.9874,Window,2024-10-13 10:36:42
PhysNet_RLAP_UBFC.h5,0.655±0.123,1.034±0.618,0.654±0.124,0.99842,Whole,2024-10-13 10:36:42
PhysNetTN_RLAP_MMPD.h5,11.452±0.184,19.361±3.109,12.639±0.19,0.36556,Window,2024-10-13 10:43:37
